index,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,10_0,10_1,10_2,10_3,10_4,10_5,10_6,10_7,11_0,11_1,11_2,11_3,11_4,11_5,11_6,11_7,12_0,12_1,12_2,12_3,12_4,12_5,12_6,12_7,13_0,13_1,13_2,13_3,13_4,13_5,13_6,13_7,14_0,14_1,14_2,14_3,14_4,14_5,14_6,14_7,15_0,15_1,15_2,15_3,15_4,15_5,15_6,15_7,16_0,16_1,16_2,16_3,16_4,16_5,16_6,16_7,17_0,17_1,17_2,17_3,17_4,17_5,17_6,17_7,18_0,18_1,18_2,18_3,18_4,18_5,18_6,18_7,19_0,19_1,19_2,19_3,19_4,19_5,19_6,19_7,20_0,20_1,20_2,20_3,20_4,20_5,20_6,20_7,21_0,21_1,21_2,21_3,21_4,21_5,21_6,21_7,22_0,22_1,22_2,22_3,22_4,22_5,22_6,22_7,23_0,23_1,23_2,23_3,23_4,23_5,23_6,23_7
Transport|Total,0.94748867,1.3677348,5.0470605,4.852889,5.601128,6.897452,5.011862,2.5645902,0.94748867,1.3677348,5.0470605,4.852889,5.601128,6.897452,5.011862,2.5645902,0.94781256,1.3819741,5.183132,4.982531,5.755546,7.0947948,5.1467676,2.6184607,0.94781256,1.3819741,5.183132,4.982531,5.755546,7.0947948,5.1467676,2.6184607,0.9495928,1.4602334,5.93098,5.695042,6.604227,8.179389,5.88821,2.9145317,0.9495928,1.4602334,5.93098,5.695042,6.604227,8.179389,5.88821,2.9145317,0.94913936,1.4402984,5.7404804,5.513544,6.3880424,7.903109,5.699342,2.8391135,0.94913936,1.4402984,5.7404804,5.513544,6.3880424,7.903109,5.699342,2.8391135,0.9495876,1.4600056,5.9288034,5.692968,6.6017566,8.176231,5.886051,2.91367,0.9495876,1.4600056,5.9288034,5.692968,6.6017566,8.176231,5.886051,2.91367,0.9496238,1.4616004,5.944043,5.7074876,6.619052,8.198334,5.9011602,2.9197032,0.9496238,1.4616004,5.944043,5.7074876,6.619052,8.198334,5.9011602,2.9197032,0.95005655,1.4806242,6.1258345,5.880689,6.8253536,8.461983,6.081395,2.9916742,0.95005655,1.4806242,6.1258345,5.880689,6.8253536,8.461983,6.081395,2.9916742,0.949103,1.4387035,5.72524,5.4990234,6.3707476,7.881007,5.6842327,2.8330798,0.949103,1.4387035,5.72524,5.4990234,6.3707476,7.881007,5.6842327,2.8330798,0.9495591,1.4587525,5.916828,5.681559,6.5881677,8.158865,5.8741794,2.9089296,0.9495591,1.4587525,5.916828,5.681559,6.5881677,8.158865,5.8741794,2.9089296,0.9498675,1.4723084,6.0463686,5.8049784,6.735174,8.346734,6.0026093,2.960214,0.9498675,1.4723084,6.0463686,5.8049784,6.735174,8.346734,6.0026093,2.960214,0.9492092,1.443374,5.769872,5.541546,6.4213967,7.9457355,5.7284813,2.8507493,0.9492092,1.443374,5.769872,5.541546,6.4213967,7.9457355,5.7284813,2.8507493,0.9490875,1.4380201,5.718709,5.4928,6.363335,7.8715343,5.6777573,2.8304942,0.9490875,1.4380201,5.718709,5.4928,6.363335,7.8715343,5.6777573,2.8304942
Transport|Hydrogen,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202,0.00120202
Transport|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport|Liquid petroleum products,0.41407472,0.8343207,4.513646,4.3194747,5.0677137,6.3640375,4.4784474,2.031176,0.41407472,0.8343207,4.513646,4.3194747,5.0677137,6.3640375,4.4784474,2.031176,0.4143986,0.8485601,4.649718,4.4491167,5.2221317,6.5613804,4.6133533,2.0850465,0.4143986,0.8485601,4.649718,4.4491167,5.2221317,6.5613804,4.6133533,2.0850465,0.41617882,0.92681944,5.397566,5.161628,6.0708127,7.6459746,5.3547955,2.3811176,0.41617882,0.92681944,5.397566,5.161628,6.0708127,7.6459746,5.3547955,2.3811176,0.41572535,0.90688443,5.207066,4.9801297,5.854628,7.3696947,5.1659274,2.3056993,0.41572535,0.90688443,5.207066,4.9801297,5.854628,7.3696947,5.1659274,2.3056993,0.41617364,0.92659163,5.395389,5.1595535,6.068342,7.6428175,5.352637,2.380256,0.41617364,0.92659163,5.395389,5.1595535,6.068342,7.6428175,5.352637,2.380256,0.4162099,0.9281864,5.410629,5.174073,6.0856376,7.6649194,5.367746,2.3862891,0.4162099,0.9281864,5.410629,5.174073,6.0856376,7.6649194,5.367746,2.3862891,0.41664264,0.9472102,5.59242,5.347275,6.2919393,7.928569,5.547981,2.45826,0.41664264,0.9472102,5.59242,5.347275,6.2919393,7.928569,5.547981,2.45826,0.41568905,0.90528953,5.191826,4.965609,5.837333,7.347593,5.1508183,2.2996657,0.41568905,0.90528953,5.191826,4.965609,5.837333,7.347593,5.1508183,2.2996657,0.41614512,0.9253385,5.383414,5.1481447,6.0547533,7.625451,5.340765,2.3755155,0.41614512,0.9253385,5.383414,5.1481447,6.0547533,7.625451,5.340765,2.3755155,0.41645348,0.9388944,5.512954,5.271564,6.20176,7.8133206,5.469195,2.4267998,0.41645348,0.9388944,5.512954,5.271564,6.20176,7.8133206,5.469195,2.4267998,0.4157953,0.90996003,5.236458,5.0081315,5.8879824,7.412321,5.195067,2.3173351,0.4157953,0.90996003,5.236458,5.0081315,5.8879824,7.412321,5.195067,2.3173351,0.41567352,0.9046061,5.1852946,4.959386,5.829921,7.33812,5.144343,2.29708,0.41567352,0.9046061,5.1852946,4.959386,5.829921,7.33812,5.144343,2.29708
Transport|Electricity,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196,0.53221196
Heating|Total,14.695268,14.695268,14.695268,14.361569,13.690768,14.36605,13.354947,13.544446,11.497532,11.777906,13.675991,11.72164,10.565839,9.043917,10.190882,10.589475,9.799942,10.735991,12.312755,10.795078,9.482757,10.260211,9.920865,10.624685,12.140311,13.690603,14.695268,11.925373,10.326621,9.363127,10.296618,10.796425,4.790912,5.6173453,7.635119,5.7501082,4.741035,4.9810796,5.9536695,6.2224708,7.451357,9.544443,10.631371,7.188683,5.3393064,3.844027,4.8929315,6.0346828,9.967875,11.4019785,11.405707,6.846369,6.2153687,3.6655903,4.3291554,5.646759,9.472897,10.971752,10.422741,8.038297,5.119845,5.5051694,7.3697906,10.070926,8.941057,9.557802,8.346051,4.0782466,1.645948,2.059315,4.4258895,6.711756,4.520332,4.9359374,5.746041,2.42586,0.56761664,0.7797389,0.49527365,2.5868793,1.3493732,1.5391216,2.54362,1.1046346,0.81959677,1.1982466,1.3808382,1.1436714,0.8842952,0.9907492,2.5057697,1.0388153,0.8793839,1.716399,0.74600035,0.44649342,0.48086542,0.7959072,2.4180202,1.4952513,0.77973866,0.8257354,0.8962562,0.42223218,0.571757,0.70923936,1.3066769,1.1265157,1.2779622,0.7598103,0.5621353,1.3306116,0.41739702,0.7688495,3.2897727,1.4274292,0.7498456,0.60052013,0.8436174,0.79962146,0.65780693,1.2734145,2.601541,1.60679,0.50073403,0.40108898,1.1566101,1.0023289,2.43928,3.2125154,4.1066914,2.6082587,1.2158161,1.3048478,1.3038362,1.1592332,0.35445133,1.434784,2.7468734,1.0725011,1.1317991,1.4645003,0.8727392,0.6057321,5.516117,5.9694676,6.9934897,4.228019,2.8205905,2.184932,3.2697985,4.496152,5.364336,5.6801248,6.7288747,3.2773066,2.5405893,2.7375216,2.479165,2.0543544,6.201409,7.9896483,9.834766,6.2620397,5.1383624,5.4360538,5.411686,5.9437294,8.932051,10.12158,10.665558,9.782753,9.324946,8.588471,8.59721,9.136294,10.55715,11.378805,12.833564,11.121824,10.291334,10.17689,10.73416,11.247217,12.150423,13.49934,14.695268,13.623509,11.918406,11.768538,11.034471,11.0710745
Heating|Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heating|Gas,6.5214734,6.5214734,6.5214734,6.5214734,6.5214734,6.5214734,6.5214734,5.8415,5.448344,5.0836015,5.697538,5.4065866,4.9279547,4.7309303,4.937039,4.8219833,4.5543504,4.951234,5.800415,4.9736257,4.4150524,4.7537217,4.6091223,4.705914,5.3006015,6.1823688,6.5214734,5.265324,5.0841064,4.8281074,4.937087,4.7918878,2.3337727,2.741653,3.73751,2.807177,2.3091562,2.4276285,2.907643,3.040308,3.5734327,4.43787,5.1390505,3.4361544,2.6044285,1.8664447,2.3841236,2.9476266,4.6129413,5.4508495,5.471587,3.2891486,3.0240722,1.7783786,2.1058762,2.6053374,4.3915377,5.1503134,4.8460736,3.8010185,2.4961152,2.6862893,3.5269747,4.6831937,4.3820457,4.6864357,4.088385,1.982042,0.781599,0.9856133,2.1536186,3.281791,2.2002301,2.4053488,2.8051696,1.1665188,0.24939655,0.35408792,0.2136922,1.2459886,0.6352267,0.72887564,1.2246385,0.5144378,0.37375948,0.56063926,0.650756,0.5337041,0.40569088,0.45823047,1.2059577,0.48195314,0.40326697,0.81636953,0.3374365,0.18961708,0.20658113,0.36206764,1.1626496,0.7072237,0.3540878,0.37678912,0.41159418,0.17764312,0.25144,0.31929338,0.6141542,0.5252371,0.5999823,0.3442523,0.24669126,0.625967,0.17525677,0.34871352,1.5928966,0.67375064,0.3393343,0.26563582,0.38561466,0.36390078,0.29390928,0.59773785,1.253225,0.7622728,0.21638712,0.16720806,0.54008996,0.46394554,1.1731422,1.5547668,1.9960808,1.2565404,0.5693106,0.6132515,0.61275226,0.5413845,0.14419039,0.67738056,1.3249526,0.49857852,0.5278446,0.6920468,0.3999875,0.26820815,2.6916924,2.91544,3.4208386,2.0559611,1.3613352,1.0476106,1.5830384,2.188296,2.616782,2.7726371,3.2902398,1.5867441,1.2231427,1.320337,1.1928272,0.9831651,3.029913,3.892073,4.556254,3.0598369,2.5052543,2.6521778,2.640151,2.9027371,4.1553435,4.679508,4.9921017,4.538327,4.347281,4.0107865,4.213711,4.0667286,4.8532376,5.345612,5.9027996,5.113946,4.7620144,4.71794,4.783512,5.1782675,5.564316,6.1379466,6.5214734,6.085091,5.71952,5.4014688,5.088184,5.0768924
Heating|Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heating|Liquid petroleum products,7.025823,7.025823,7.025823,6.692125,6.021323,6.6966047,5.685502,6.5549755,5.659415,5.9169936,6.9172034,5.8809133,4.695198,3.7841523,4.320809,4.7122107,4.6735263,5.0807953,5.952198,5.1037736,4.5305834,4.878115,4.729732,4.8290567,6.292962,6.723641,7.025823,6.075818,4.513793,3.8838723,4.426549,4.9172797,2.394842,2.8133953,3.8353117,2.880634,2.3695812,2.4911537,2.9837291,3.1198654,3.6669407,4.553998,5.273527,3.52607,2.6725802,1.915285,2.4465103,3.0247588,4.733651,5.5934854,5.614765,3.3752174,3.1032047,1.8249145,2.160982,2.6735127,4.5064535,5.2850842,4.9728837,3.900482,2.5614324,2.756583,3.619267,4.805742,4.496713,4.8090687,4.1953683,2.0339072,0.80205154,1.0114044,2.2099736,3.3676677,2.2578046,2.468291,2.878574,1.1970438,0.25592265,0.36335355,0.21928401,1.2785932,0.65184903,0.7479485,1.2566843,0.5278994,0.38353986,0.5753098,0.6677847,0.5476698,0.41630685,0.47022125,1.2375147,0.49456468,0.4138195,0.83773196,0.3462664,0.1945789,0.21198685,0.3715421,1.1930734,0.72573006,0.36335343,0.3866488,0.4223646,0.18229161,0.25801957,0.32764852,0.6302252,0.53898126,0.6156824,0.35326055,0.25314656,0.6423471,0.17984281,0.3578385,1.6345788,0.6913811,0.34821388,0.27258688,0.39570525,0.3734232,0.3016002,0.6133792,1.2860188,0.78221965,0.22204944,0.17158349,0.55422276,0.47608587,1.2038405,1.5954512,2.0483134,1.2894211,0.5842081,0.62929887,0.6287865,0.55555123,0.1479635,0.69510597,1.3596234,0.5116251,0.54165703,0.71015596,0.4104542,0.2752265,2.7621274,2.99173,3.5103538,2.1097608,1.396958,1.075024,1.6244627,2.2455585,2.6852567,2.8451905,3.3763375,1.6282653,1.2551494,1.3548871,1.2240406,1.008892,3.1091983,3.993919,4.67548,3.1399055,2.5708108,2.7215788,2.7092376,2.978695,4.264079,4.820629,5.3841443,4.6570845,4.461039,4.115739,4.0127726,4.173145,4.980235,5.534268,6.0572615,5.2477655,4.886625,4.841397,4.8544917,5.3137703,5.7099204,6.298562,7.025823,6.3904476,5.3997707,5.5428123,5.1738443,5.2097425
